scenario_id,type,local_required,verification_class,verification_owner,verification_command,evidence_artifact,human_required_reason,required_human_action,expected_human_evidence,release_impact,status
CS-UND-009,MUST_PASS,true,D+M,AI,cornerstone scenario verify full-understanding-ontology --json,reports/scenario/full-understanding-ontology-2026-06-10.json,,,,,PASS
CS-UND-010,MUST_PASS,true,D+M,AI,cornerstone scenario verify full-understanding-ontology --json,reports/scenario/full-understanding-ontology-2026-06-10.json,,,,,PASS
CS-UND-011,MUST_PASS,true,D+M,AI,cornerstone scenario verify full-understanding-ontology --json,reports/scenario/full-understanding-ontology-2026-06-10.json,,,,,PASS
CS-UND-012,MUST_PASS,true,D+M,AI,cornerstone scenario verify full-understanding-ontology --json,reports/scenario/full-understanding-ontology-2026-06-10.json,,,,,PASS
CS-CLAIM-001,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify vs0-conversation-onboarding --json,reports/scenario/vs0-conversation-onboarding-2026-06-09.json,,,,,PASS
CS-CLAIM-002,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify vs0-briefing --json,reports/scenario/vs0-briefing-2026-06-09.json,,,,,PASS
CS-CLAIM-003,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify vs0-conversation-onboarding --json,reports/scenario/vs0-conversation-onboarding-2026-06-09.json,,,,,PASS
CS-CLAIM-004,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify vs0-conversation-onboarding --json,reports/scenario/vs0-conversation-onboarding-2026-06-09.json,,,,,PASS
CS-CLAIM-005,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify vs0-detail-surfaces --json,reports/scenario/vs0-detail-surfaces-2026-06-09.json,,,,,PASS
CS-CLAIM-006,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify vs0-claim-evidence --json,reports/scenario/vs0-claim-evidence-2026-06-09.json,,,,,PASS
CS-CLAIM-007,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify vs0-claim-evidence --json,reports/scenario/vs0-claim-evidence-2026-06-09.json,,,,,PASS
CS-CLAIM-008,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify vs0-detail-surfaces --json,reports/scenario/vs0-detail-surfaces-2026-06-09.json,,,,,PASS
CS-CLAIM-009,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify vs0-conversation-onboarding --json,reports/scenario/vs0-conversation-onboarding-2026-06-09.json,,,,,PASS
CS-CLAIM-010,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify vs0-mission-action --json,reports/scenario/vs0-mission-action-2026-06-09.json,,,,,PASS
CS-CLAIM-011,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-claim-collaboration --json,reports/scenario/full-claim-collaboration-2026-06-09.json,,,,,PASS
CS-CLAIM-012,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-claim-collaboration --json,reports/scenario/full-claim-collaboration-2026-06-09.json,,,,,PASS
CS-CLAIM-013,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-claim-collaboration --json,reports/scenario/full-claim-collaboration-2026-06-09.json,,,,,PASS
CS-CLAIM-014,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-claim-collaboration --json,reports/scenario/full-claim-collaboration-2026-06-09.json,,,,,PASS
CS-MEM-001,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-002,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-003,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-004,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-005,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-006,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-007,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-008,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-009,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-010,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-011,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-012,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-013,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-014,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-015,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-016,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-017,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-MEM-018,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full-memory-wiki --json,reports/scenario/full-memory-wiki-2026-06-10.json,,,,,PASS
CS-NS-001,MUST_PASS,true,D+P,AI,cornerstone scenario verify vs0-namespace-isolation --json,reports/scenario/vs0-namespace-isolation-2026-06-09.json,,,,,PASS
CS-NS-002,MUST_PASS,true,D+P,AI,cornerstone scenario verify vs0-detail-surfaces --json,reports/scenario/vs0-detail-surfaces-2026-06-09.json,,,,,PASS
CS-NS-003,MUST_PASS,true,D+P,AI,cornerstone scenario verify vs0-namespace-isolation --json,reports/scenario/vs0-namespace-isolation-2026-06-09.json,,,,,PASS
CS-NS-004,MUST_PASS,true,D+P,AI,cornerstone scenario verify vs0-tenant-security-boundary --json,reports/scenario/vs0-tenant-security-boundary-2026-06-09.json,,,,,PASS
CS-NS-005,MUST_PASS,true,D+P,AI,cornerstone scenario verify full --scenario CS-NS-005 --json,reports/scenario/cs-ns-005.json,,,,,NOT_VERIFIED
CS-NS-006,MUST_PASS,true,D+P,AI,cornerstone scenario verify full --scenario CS-NS-006 --json,reports/scenario/cs-ns-006.json,,,,,NOT_VERIFIED
CS-NS-007,MUST_PASS,true,D+P,AI,cornerstone scenario verify full --scenario CS-NS-007 --json,reports/scenario/cs-ns-007.json,,,,,NOT_VERIFIED
CS-NS-008,MUST_PASS,true,D+P,AI,cornerstone scenario verify full --scenario CS-NS-008 --json,reports/scenario/cs-ns-008.json,,,,,NOT_VERIFIED
CS-NS-009,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-NS-010,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-NS-011,MUST_PASS,true,D+P,AI,cornerstone scenario verify full --scenario CS-NS-011 --json,reports/scenario/cs-ns-011.json,,,,,NOT_VERIFIED
CS-NS-012,MUST_PASS,true,D+P,AI,cornerstone scenario verify full --scenario CS-NS-012 --json,reports/scenario/cs-ns-012.json,,,,,NOT_VERIFIED
CS-NS-013,MUST_PASS,true,D+P,AI,cornerstone scenario verify full --scenario CS-NS-013 --json,reports/scenario/cs-ns-013.json,,,,,NOT_VERIFIED
CS-NS-014,MUST_PASS,true,D+P,AI,cornerstone scenario verify full --scenario CS-NS-014 --json,reports/scenario/cs-ns-014.json,,,,,NOT_VERIFIED
CS-AUTO-001,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify vs0-mission-action --json,reports/scenario/vs0-mission-action-2026-06-09.json,,,,,PASS
CS-AUTO-002,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify vs0-product-domain-readiness --json,reports/scenario/vs0-product-domain-readiness-2026-06-09.json,,,,,PASS
CS-AUTO-003,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify vs0-mission-action --json,reports/scenario/vs0-mission-action-2026-06-09.json,,,,,PASS
CS-AUTO-004,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify vs0-mission-action --json,reports/scenario/vs0-mission-action-2026-06-09.json,,,,,PASS
CS-AUTO-005,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify vs0-mission-action --json,reports/scenario/vs0-mission-action-2026-06-09.json,,,,,PASS
CS-AUTO-006,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify vs0-mission-action --json,reports/scenario/vs0-mission-action-2026-06-09.json,,,,,PASS
CS-AUTO-007,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify vs0-mission-action --json,reports/scenario/vs0-mission-action-2026-06-09.json,,,,,PASS
CS-AUTO-008,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify vs0-mission-action --json,reports/scenario/vs0-mission-action-2026-06-09.json,,,,,PASS
CS-AUTO-009,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify vs0-mission-action --json,reports/scenario/vs0-mission-action-2026-06-09.json,,,,,PASS
CS-AUTO-010,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify vs0-mission-action --json,reports/scenario/vs0-mission-action-2026-06-09.json,,,,,PASS
CS-AUTO-011,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify vs0-mission-action --json,reports/scenario/vs0-mission-action-2026-06-09.json,,,,,PASS
CS-AUTO-012,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full --scenario CS-AUTO-012 --json,reports/scenario/cs-auto-012.json,,,,,NOT_VERIFIED
CS-AUTO-013,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full --scenario CS-AUTO-013 --json,reports/scenario/cs-auto-013.json,,,,,NOT_VERIFIED
CS-AUTO-014,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full --scenario CS-AUTO-014 --json,reports/scenario/cs-auto-014.json,,,,,NOT_VERIFIED
CS-AUTO-015,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full --scenario CS-AUTO-015 --json,reports/scenario/cs-auto-015.json,,,,,NOT_VERIFIED
CS-AUTO-016,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full --scenario CS-AUTO-016 --json,reports/scenario/cs-auto-016.json,,,,,NOT_VERIFIED
CS-AUTO-017,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full --scenario CS-AUTO-017 --json,reports/scenario/cs-auto-017.json,,,,,NOT_VERIFIED
CS-AUTO-018,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full --scenario CS-AUTO-018 --json,reports/scenario/cs-auto-018.json,,,,,NOT_VERIFIED
CS-AUTO-019,MUST_PASS,true,D+P+U,AI,cornerstone scenario verify full --scenario CS-AUTO-019 --json,reports/scenario/cs-auto-019.json,,,,,NOT_VERIFIED
CS-AUTO-020,REGRESSION_GUARD,true,D+P+U,AI,cornerstone scenario verify vs0-mission-action --json,reports/scenario/vs0-mission-action-2026-06-09.json,,,,,PASS
CS-AGENT-001,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-agent-orchestration --json,reports/scenario/full-agent-orchestration-2026-06-10.json,,,,,PASS
CS-AGENT-002,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-agent-orchestration --json,reports/scenario/full-agent-orchestration-2026-06-10.json,,,,,PASS
CS-AGENT-003,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-agent-orchestration --json,reports/scenario/full-agent-orchestration-2026-06-10.json,,,,,PASS
CS-AGENT-004,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-agent-orchestration --json,reports/scenario/full-agent-orchestration-2026-06-10.json,,,,,PASS
CS-AGENT-005,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-agent-orchestration --json,reports/scenario/full-agent-orchestration-2026-06-10.json,,,,,PASS
CS-AGENT-006,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-agent-orchestration --json,reports/scenario/full-agent-orchestration-2026-06-10.json,,,,,PASS
CS-AGENT-007,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-agent-orchestration --json,reports/scenario/full-agent-orchestration-2026-06-10.json,,,,,PASS
CS-AGENT-008,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-agent-orchestration --json,reports/scenario/full-agent-orchestration-2026-06-10.json,,,,,PASS
CS-AGENT-009,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-agent-orchestration --json,reports/scenario/full-agent-orchestration-2026-06-10.json,,,,,PASS
CS-AGENT-010,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-agent-orchestration --json,reports/scenario/full-agent-orchestration-2026-06-10.json,,,,,PASS
CS-AGENT-011,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-agent-orchestration --json,reports/scenario/full-agent-orchestration-2026-06-10.json,,,,,PASS
CS-AGENT-012,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-agent-orchestration --json,reports/scenario/full-agent-orchestration-2026-06-10.json,,,,,PASS
CS-AGENT-013,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-agent-orchestration --json,reports/scenario/full-agent-orchestration-2026-06-10.json,,,,,PASS
CS-AGENT-014,MUST_PASS,true,D+P,AI,cornerstone scenario verify full-agent-orchestration --json,reports/scenario/full-agent-orchestration-2026-06-10.json,,,,,PASS
CS-BRAIN-001,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-BRAIN-002,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-BRAIN-003,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-BRAIN-004,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-BRAIN-005,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-BRAIN-006,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-BRAIN-007,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-BRAIN-008,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-BRAIN-009,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-BRAIN-010,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-BRAIN-011,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-BRAIN-012,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-BRAIN-013,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-BRAIN-014,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-BRAIN-015,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-BRAIN-016,MUST_PASS,true,M+D+P,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-LEARN-001,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-002,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-003,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-004,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-005,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-006,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-007,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-008,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-009,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-010,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-011,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-012,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-013,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-014,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-015,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-016,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-017,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-LEARN-018,MUST_PASS,true,M+D,AI,cornerstone scenario verify full-learning-experience --json,reports/scenario/full-learning-experience-2026-06-10.json,,,,,PASS
CS-EXT-001,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
CS-EXT-002,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
CS-EXT-003,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
CS-EXT-004,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
CS-EXT-005,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
CS-EXT-006,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
CS-EXT-007,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
CS-EXT-008,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
CS-EXT-009,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
CS-EXT-010,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
CS-EXT-011,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
CS-EXT-012,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
CS-EXT-013,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
CS-EXT-014,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
CS-EXT-015,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
CS-EXT-016,MUST_PASS,true,D+P+S,AI,cornerstone scenario verify full-extension-ecosystem --json,reports/scenario/full-extension-ecosystem-2026-06-10.json,,,,,PASS
